name,os,processor,generation,ram,ssd,hdd,display,price
acer,windows 11,intel core i7,12,32,2048,0,16.0,229990
asus,windows 11,intel core i9,12,32,4096,0,17.3,399990
hp,windows 11,intel core i5,12,8,512,0,14.0,74990
hp,windows 11,intel core i7,12,16,1024,0,16.1,132765
acer,windows 10,intel core i5,11,8,0,1,14.0,46990
dell,windows 11,intel core i3,11,8,256,0,14.96,42690
hp,windows 10,other,0,8,512,0,15.6,59990
apple,mac,apple m1 pro,0,16,512,0,16.2,222990
asus,windows 11,intel core i3,12,8,512,0,15.6,42990
msi,windows 10,intel core i7,10,32,512,1,15.6,156090
dell,windows 10,intel core i5,10,8,512,0,15.6,69890
asus,windows 11,other,0,16,512,0,15.6,63990
dell,windows 11,intel core i7,12,16,512,0,15.6,108990
asus,windows 11,intel core i9,12,16,1024,0,13.4,304980
dell,windows 11,other,0,16,512,0,14.0,84790
msi,windows 10,other,0,8,512,0,15.6,58500
acer,windows 11,other,0,8,512,0,15.6,33200
asus,windows 11,other,0,16,1024,0,17.3,210990
dell,windows 11,intel core i7,12,16,512,0,14.0,176490
lenovo,windows 11,intel core i3,10,4,256,0,14.0,35990
hp,windows 11,intel core i7,12,16,512,0,13.5,130990
dell,windows 11,other,0,8,512,0,15.6,71990
asus,windows 11,other,0,16,1024,0,15.6,105990
lenovo,windows 10,intel core i5,11,8,512,0,15.6,58900
msi,windows 10,intel core i9,11,16,1024,0,16.0,210990
lenovo,windows 11,other,0,16,512,0,15.6,65990
acer,windows 10,intel core i7,10,16,2048,0,15.6,150490
dell,windows 11,intel core i3,10,4,256,1,14.0,42490
asus,other,intel core other,0,4,512,0,11.6,18990
dell,windows 10,intel core i5,11,8,1024,0,13.3,78190
asus,windows 11,intel core i7,12,16,1024,0,17.3,329990
acer,windows 11,intel core i9,11,16,1024,0,15.6,119990
dell,windows 11,intel core i5,11,8,512,0,15.6,70430
asus,other,intel core i5,10,8,0,1,14.0,69290
asus,windows 11,intel core other,0,4,0,1,11.6,18990
acer,windows 11,intel core i5,12,8,512,0,15.6,64990
lenovo,windows 11,intel core i5,12,16,512,0,15.6,84990
apple,mac,intel core i5,8,8,512,0,13.3,163990
acer,windows 11,intel core other,0,4,256,0,14.0,41999
acer,windows 10,other,0,8,512,0,15.6,55990
hp,windows 10,intel core i5,10,8,512,512,15.6,54890
asus,windows 11,intel core i5,12,16,512,0,13.4,114990
dell,windows 11,other,0,16,512,0,14.0,88890
asus,windows 11,amd ryzen 5,10,16,512,0,16.0,54990
dell,windows 10,intel core i3,11,8,256,0,14.0,40690
asus,windows 11,intel core other,0,4,128,0,11.6,24290
hp,windows 11,other,0,16,512,0,16.1,111500
asus,windows 11,intel core i5,12,16,512,0,15.6,74990
dell,windows 11,intel core i7,12,32,1024,0,14.0,209990
dell,windows 11,other,0,16,1024,0,15.6,158990
lenovo,windows 10,intel core i3,10,8,256,0,14.0,37890
asus,windows 11,intel core i5,12,16,512,0,15.6,92990
asus,windows 10,intel core i7,10,16,2048,0,14.0,233990
dell,windows 11,intel core i7,12,16,512,0,15.6,127490
gigabyte,windows 11,intel core i7,12,16,1024,0,15.6,193990
acer,windows 10,intel core i5,7,8,128,1,15.6,129999
dell,windows 11,other,0,8,512,0,14.0,78061
lenovo,windows 10,amd ryzen 7,5,16,512,0,14.0,98246
msi,windows 10,intel core i7,8,16,512,0,15.6,185790
dell,windows 10,intel core i3,11,8,256,0,14.96,41290
dell,windows 11,other,0,8,256,0,15.6,38690
lenovo,windows 10,intel core i5,11,8,512,0,15.6,71990
lenovo,windows 11,intel core i5,10,8,512,0,15.6,72490
acer,windows 11,intel core i5,12,8,512,0,15.6,61999
asus,windows 10,other,0,16,512,0,15.6,105990
msi,windows 10,intel core i7,11,16,1024,0,15.6,206990
msi,windows 11,intel core i7,12,16,1024,0,16.0,119990
asus,windows 11,intel core i7,12,32,1024,0,16.0,239990
lenovo,windows 11,other,0,8,512,0,15.6,62990
dell,windows 10,other,0,8,256,0,15.6,42690
msi,windows 10,intel core i5,11,16,512,0,15.6,73990
hp,windows 11,other,0,8,512,0,16.1,82990
hp,windows 11,intel core i3,12,8,512,0,14.0,59990
asus,windows 11,other,0,16,1024,0,15.6,115990
msi,windows 10,intel core i7,10,32,1024,0,15.6,214990
dell,windows 10,other,0,16,512,0,15.6,93900
msi,windows 10,intel core i5,9,8,512,0,15.6,58499
hp,windows 11,other,0,16,512,0,15.6,50983
asus,windows 11,intel core i9,12,16,1024,0,16.0,219990
dell,windows 10,other,0,8,512,0,14.0,47090
asus,windows 10,intel core i7,8,8,512,0,13.3,66990
lenovo,windows 10,intel core i3,10,4,256,0,15.6,40200
asus,windows 11,intel core i3,12,8,512,0,14.0,47990
acer,windows 10,other,0,8,512,0,15.6,59990
hp,windows 11,intel core i5,11,8,512,0,15.6,51890
asus,windows 10,intel core i5,10,4,0,1,14.0,61249
dell,windows 11,intel core other,0,4,256,0,15.6,35500
hp,windows 11,other,0,16,512,0,16.1,107690
lenovo,windows 11,other,0,16,1024,0,15.6,131990
hp,windows 11,other,0,8,512,0,14.0,28490
hp,windows 11,intel core i5,12,8,512,0,15.6,64990
asus,windows 10,intel core i7,7,8,256,1,15.6,146490
dell,windows 11,intel core i5,12,8,512,0,15.6,60090
lenovo,windows 11,other,0,8,256,256,15.6,34990
lenovo,windows 11,intel core i3,11,8,512,0,15.6,40699
asus,windows 11,intel core i5,10,8,1024,0,15.6,71999
acer,windows 11,intel core i5,11,8,512,0,14.0,69990
hp,windows 11,intel core i5,11,8,512,0,16.1,62990
dell,windows 10,intel core i5,11,8,512,0,35.0,63090
hp,windows 11,other,0,16,1024,0,16.1,107990
dell,windows 10,intel core i3,10,4,256,1,15.6,48999
lenovo,windows 10,intel core i5,11,8,512,0,15.6,57890
dell,windows 11,intel core i5,12,16,512,0,16.0,88490
hp,windows 11,other,0,16,512,0,16.1,99850
dell,windows 10,intel core i3,11,8,256,0,15.6,40890
dell,windows 11,intel core i3,10,8,512,0,15.6,40690
hp,windows 11,intel core i7,12,16,1024,0,16.1,170990
dell,windows 11,intel core i5,11,8,512,0,15.6,71857
asus,windows 10,intel core i7,10,16,1024,0,14.0,154990
acer,windows 10,intel core i5,8,8,512,0,15.6,100500
dell,windows 11,intel core i5,12,8,256,1,15.6,94075
apple,mac,apple m2 pro,0,16,512,0,16.0,249900
asus,windows 10,intel core i5,10,8,512,0,13.3,79990
acer,windows 11,intel core i7,12,16,1024,0,14.0,115999
acer,windows 11,other,0,4,512,0,15.6,27990
asus,windows 11,amd ryzen 9,10,16,512,0,16.6,98990
infinix,windows 11,intel core i5,11,8,512,0,15.6,42990
dell,windows 11,intel core i3,10,8,256,0,14.96,44190
asus,windows 11,other,0,16,1024,0,15.6,96990
dell,windows 10,intel core i3,10,8,512,0,14.0,42990
asus,windows 10,intel core i7,10,32,1024,0,15.6,234990
hp,windows 11,other,0,16,512,0,16.1,85990
asus,other,intel core other,0,4,512,0,15.6,22990
asus,windows 11,intel core i7,12,16,512,0,14.0,107331
lenovo,windows 10,intel core i3,11,4,256,0,15.0,38990
hp,windows 11,other,0,8,512,0,15.6,37990
asus,windows 11,other,0,16,1024,0,15.6,150990
lenovo,windows 10,other,0,8,512,0,15.6,76990
hp,windows 11,other,0,16,512,0,13.3,79000
hp,windows 11,other,0,8,512,0,16.1,84198
hp,windows 11,other,0,8,512,0,15.6,42990
asus,windows 11,other,0,32,1024,0,13.4,177900
lenovo,windows 10,other,0,8,256,1,15.6,62490
asus,windows 11,intel core i5,12,16,512,0,14.0,79990
asus,windows 11,other,0,16,1024,0,13.4,151990
infinix,windows 11,intel core i3,11,8,256,0,15.6,30990
asus,windows 11,other,0,16,1024,0,13.4,147990
lenovo,windows 11,intel core i3,11,8,256,0,15.6,37490
lenovo,windows 11,intel core i7,12,16,512,0,16.0,118990
hp,windows 11,intel core i3,11,8,256,0,14.0,39990
asus,windows 10,other,0,32,1024,0,13.4,234990
acer,windows 11,intel core i5,11,16,512,0,16.1,94990
hp,windows 10,other,0,8,512,0,15.6,66990
hp,windows 11,intel core i3,11,8,256,1,15.6,40788
dell,windows 11,intel core i3,11,8,0,1,15.6,42500
asus,windows 11,other,0,8,1024,0,15.6,60990
asus,windows 11,intel core i5,10,8,512,0,15.6,58990
acer,windows 10,intel core i7,10,16,256,1,15.6,119990
